foreignVocab,foreignPronun,nativeDef,isStarred
你,nǐ,you
好,hǎo,fine;good;O.K.;it's settled
请,qǐng,please (polite form of request);to treat or invite (somebody)
问,wèn,to ask(a question)
贵,guì,honorable;expensive
姓,xìng,one's surname is...;to be surnamed;surname
我,wǒ,I;me
呢,ne,question particle
小姐,xiǎojiě,Miss;young lady
叫,jiào,to be called;to call
什么,shénme,what
名字,míngzi,name
先生,xiānsheng,Mr.;husband;teacher
李有,Lǐ Yǒu,personal name
李,lǐ,surname;plum
王朋,Wáng Péng,personal name
王,Wáng,a surname;king
是,shì,to be
老师,lǎoshī,teacher
吗,ma,question particle
不,bù,not;no
也,yě,too;also
人,rén,people;person
中国,Zhōngguó,China
北京,Běijīng,Beijing
美国,Měiguó,America
纽约,Niǔyuē,New York
那,nà,that
的,de,a posessive or descriptive particle
照片,zhàopiàn,picture;photo
这,zhè,this
爸爸,bàba,father;dad
妈妈,māma,mother;mom
个,gè/ge,a measure word for many common everyday objects
女,nǚ,female
孩子,háizi,child
她,tā,she;her
大哥,dàgē,eldest brother
儿子,érzi,son
有,yǒu,to have;to exist
女儿,nǚér,daughter
没,méi,not
高文中,Gāo Wénzhōng,a personal name
高,gāo,tall;high
家,jiā,family;home
几,jǐ,how many;some;a few
口,kǒu,a measure word for number of family members
哥哥,gēge,older brother
两,liǎng,two;a couple of
妹妹,mèimei,younger sister
和,hé,and
大姐,dàjiě,eldest sister
二姐,èrjiě,second oldest sister
做,zuò,to do
工作,gōngzuò,job;to work
律师,lǜshī,lawyer
都,dōu,both;all
大学生,dàxuéshēng,college student
大学,dàxué,uniersity;college
医生,yīshēng,doctor;physician
白英爱,Bái Yīng'ài,a personal name
九月,jiǔyuè,September
月,yuè,month
十二,shí'èr,twelve
号,hào,measure word for number in a series;day of the month
星期,xīngqī,week
星期四,xīngqīsì,Thursday
天,tiān,day
生日,shēngrì,birthday
生,shēng,to give birth to;to be born
日,rì,day;sun
今年,jīnnián,this year
年,nián,year
多,duō,how many/much;to what extent
大,dà,big;old
十八,shíbā,eighteen
岁,suì,year (of age)
吃,chī,to eat
饭,fàn,meal;(cooked) rice
怎么样,zěnmeyàng,Is it O.K.?;How is that? How does that sound?
太...了,tài...le,too;extremely
谢谢,xièxie,to thank
喜欢,xǐhuan,to like
菜,cài,dishes;cuisine
还是,háishi,or
可是,kěshì,but
我们,wǒmen,we
点,diǎn,o'clock;dot;point
半,bàn,half;half an hour
晚上,wǎnshang,evening;night
见,jiàn,to see
再见,zàijiàn,goodbye;see you again
在,zài,again
英国,Yīngguó,Britan;England
现在,xiànzài,now
刻,kè,quarter (of an hour)
事,shì,matter;affair;event
今天,jīntiān,today
很,hěn,very
忙,máng,busy
明天,míngtiān,tomorrow
晚饭,wǎnfàn,dinner;supper
为什么,wèishénme,why
因为,yīnwèi,because
还,hái,also;too;as well
同学,tóngxué,classmate
认识,rènshi,to be aquainted with;to recognize
朋友,péngyou,friend
周末,zhōumò,weekend
打球,dǎqiù,to play ball
打,dǎ,to hit
求,qiú,ball
看,kàn,to watch;to look;to read
电视,diànshì,television
电,diàn,electricity
视,shì,vision
唱歌,chànggē,to sing (a song)
唱,chàng,to sing
歌,gē,song
跳舞,tiàowǔ,to dance
跳,tiào,to jump
舞,wǔ,dance
听,tīng,to listen
音乐,yīnyuè,music
书,shū,book
对,duì,right;correct
有的,yǒude,some
时候,shíhou,a point in (time);moment;duration of (time)
电影,diànyǐng,movie;film
影,yǐng,shadow
那,nà,in that case;then
去,qù,to go
外国,wàiguó,foreign country
请客,qǐngkè,to invite someone;to play the host
昨天,zuótiān,yesterday
所以,suǒyǐ,so
小,xiǎo,small;little
好久,hǎojiǔ,a long time
久,jiǔ,long (of time)
不错,búcuò,pretty good
错,cuò,wrong
想,xiǎng,to want to;would like to;to think
觉得,juéde,to feel;to think
有意思,yǒuyìsi,interesting
睡觉,shuìjiào,to sleep
觉,jiào,sleep
算了,suànle,forget it;never mind
找,zhǎo,to look for
别人,biérén,other people;another person
别,bié,other
呀,ya,interjectory particle
进,jìn,to enter
快,kuài,fast;quick;quickly
进来,jìnlái,to come in
来,lái,to come
介绍,jièshào,to introduce
一下,yíxià,once;in a bit
高兴,gāoxìng,happy;pleased
漂亮,piàoliang,pretty
坐,zuò,to sit
在,zài,at;in;on
哪儿,nǎr,where
学校,xuéxiào,school
喝,hē,to drink
点(儿),diǎn(r),a little;a bit;some
茶,chá,tea
咖啡,kāfēi,coffee
吧,ba,a sentence-final particle
要,yào,to want
瓶,píng,measure word for bottles;bottle
可乐,kělè,cola
可以,kěyǐ,can;may
对不起,duìbuqǐ,sorry
给,gěi,to give
杯,bēi,measure word for cup and glass
水,shuǐ,water
高小音,GāoXiǎoyīn,a personal name
介,jiè,to be situated between
绍,shào,to carry on;to continue
下,xià,below;under
兴,xìng,mood;interest
亮,liàng,bright
校,xiào,school
要,yào,to want
起,qǐ,to rise
给,gěi,to give
玩,wán,to have fun;to play
图,tú,picture;chart;drawing
馆,guǎn,place or building
聊,liáo,to chat
才,cái,not until;only then
回,huí,to return
