人(rén),person; people
刀(dāo),knife
力(lì),power
又(yòu),right hand; again
口(kǒu),mouth
土(tǔ),earth
夕(xī),sunset
大(dà),big
女(nǚ),woman
子(zǐ),son
寸(cùn),inch
小(xiǎo),small
工(gōng),labor; work
幺(yāo),tiny; small
弓(gōng),bow
心(xīn),heart
戈(gē),dagger-axe
手(shǒu),hand
日(rì),sun
月(yuè),moon
木(mù),wood
水(shuǐ),water
火(huǒ),fire
田(tián),field
目(mù),eye
示(shì),show
纟(mì),fine silk
耳(ěr),ear
衣(yī),clothing
言(yán),speech
贝(bèi),cowrie shell
走(zǒu),walk
足(zú),foot
金(jīn),gold
门(mén),door
隹(zhuī),short-tailed bird
雨(yǔ),rain
食(shí),eat
马(mǎ),horse 
