你(nǐ),you
好(hǎo),fine; good; O.K.; it's settled
请(qǐng),please(polite form of request); to treat or invite(somebody)
问(wèn),to ask(a question)
贵(guì),honorable; expensive
姓(xìng),(one's) surname is...; to be surnamed; surname
我(wǒ),I; me
呢(ne),question particle
小姐(xiǎojiě),Miss; young lady
叫(jiào),to be called; to call
什么(shénme),what
名字(míngzi),name
先生(xiānsheng),Mr.; husband; teacher
李有(Lǐ Yǒu),personal name
李(lǐ),surnamel plum
王朋(Wáng Péng),personal name
王(Wáng),(a surname); king
是(shì),to be
老师(lǎoshī),teacher
吗(ma),question particle
不(bù),not; no
也(yě),too; also
人(rén),people; person
中国(Zhōngguó),China
北京(Běijīng),Beijing
美国(Měiguó),America
纽约(Niǔyuē),New York
