九月(jiǔyuè),September
月(yuè),month
十二(shí'èr),twelve
号(hào),measure word for number in a series; day of the month
星期(xīngqī),week
星期四(xīngqīsì),Thursday
天(tiān),day
生日(shēngrì),birthday
生(shēng),to give birth to; to be born
日(rì),day; sun
今年(jīnnián),this year
年(nián),year
多(duō),how many/much; to what extent
大(dà),big; old
十八(shíbā),eighteen
岁(suì),year (of age)
吃(chī),to eat
饭(fàn),meal; (cooked)rice
怎么样(zěnmeyàng),Is it O.K.?; How is that? How does that sound?
太...了(tài...le),too; extremely
谢谢(xièxie),to thank
喜欢(xǐhuan),to like
菜(cài),dishes; cuisine
还是(háishi),or
可是(kěshì),but
我们(wǒmen),we
点(diǎn),o'clock(lit. dot, point, thus "points on the clock")
半(bàn),half; half an hour
晚上(wǎnshang),evening; night
见(jiàn),to see
再见(zàijiàn),goodbye; see you again
在(zài),again
英国(Yīngguó),Britan; England
现在(xiànzài),now
刻(kè),quarter(of an hour)
事(shì),matter; affair; event
今天(jīntiān),today
很(hěn),very
忙(máng),busy
明天(míngtiān),tomorrow
晚饭(wǎnfàn),dinner; supper
为什么(wèishénme),why
因为(yīnwèi),because
还(hái),also; too; as well
同学(tóngxué),classmate
认识(rènshi),to be aquainted with; to recognize
朋友(péngyou),friend
