가,Ga
각,Gak
간,Gan
갈,Gal
감,Gam
갑,Gap
갓,Gat
강,Gang
개,Gae
객,Gaek
거,Geo
건,Geon
걸,Geol
검,Geom
겁,Geop
게,Ge
겨,Gyeo
격,Gyeop
견,Gyeon
결,Gyeol
겸,Gyeom
겹,Gyeop
경,Gyeong
계,Gye
고,Go
곡,Gok
곤,Gon
골,Gol
곳,Got
공,Gong
곷,Got
과,Gwa
곽,Gwak
관,Gwan
괄,Gwal
광,Gwang
괘,Gwae
괴,Goe
굉,Goeng
교,Gyo
구,Gu
국,Guk
군,Gun
굴,Gul
굿,Gut
궁,Gung
권,Gwon
궐,Gwol
귀,Gwi
규,Gyu
균,Gyun
귤,Gyul
그,Geu
극,Geuk
근,Geun
글,Geul
금,Geum
급,Geup
긍,Geung
기,Gi
긴,Gin
길,Gil
김,Gim
까,Kka
깨,Kkae
꼬,Kko
꼭,Kkok
꽃,Kkot
꾀,Kkoe
꾸,Kku
꿈,Kkum
끝,Kkeut
끼,Kki
나,Na
낙,Nak
난,Nan
날,Nal
남,Nam
납,Nap
낭,Nang
내,Nae
냉,Naeng
너,Neo
널,Neol
네,Ne
녀,Nyeo
녁,Nyeok
년,Nyeon
념,Nyeom
녕,Nyeong
노,No
녹,Nok
논,Non
놀,Nol
농,Nong
뇌,Noe
누,Nu
눈,Nun
눌,Nul
느,Neu
늑,Neuk
늠,Neum
능,Neung
늬,Nui
니,Ni
닉,Nik
닌,Nin
닐,Nil
님,Nim
바,Ba
박,Bak
반,Ban
발,Bal
밥,Bap
방,Bang
배,Bae
백,Baek
뱀,Baem
버,Beo
번,Beon
벌,Beol
범,Beom
법,Beop
벼,Byeo
벽,Byeok
변,Byeon
별,Byeol
병,Byeong
보,Bo
복,Bok
본,Bon
봉,Bong
부,Bu
북,Buk
분,Bun
불,Bul
붕,Bung
비,Bi
빈,Bin
빌,Bil
빔,Bim
빙,Bing
빠,Ppa
빼,Ppae
뻐,Ppeo
뽀,Ppo
뿌,Ppu
쁘,Ppeu
삐,Ppi
사,Sa
삭,Sak
산,San
살,Sal
삼,Sam
삽,Sap
상,Sang
샅,Sat
새,Sae
색,Saek
생,Saeng
서,Seo
석,Seok
선,Seon
설,Seol
섬,Seom
섭,Seop
성,Seong
세,Se
셔,Syeo
소,So
속,Sok
손,Son
솔,Sol
솟,Sot
송,Song
쇄,Swae
쇠,Soe
수,Su
숙,Suk
순,Sun
술,Sul
숨,Sum
숭,Sung
쉬,Swi
스,Seu
슬,Seul
슴,Seum
습,Seup
승,Seung
시,Si
식,Sik
신,Sin
실,Sil
심,Sim
십,Sip
싱,Sing
싸,Ssa
쌍,Ssang
쌔,Ssae
쏘,Sso
쑥,Ssuk
씨,Ssi
다,Da
단,Dan
달,Dal
담,Dam
답,Dap
당,Dang
대,Dae
댁,Daek
더,Deo
덕,Deok
도,Do
독,Dok
돈,Don
돌,Dol
동,Dong
돼,Dwae
되,Doe
된,Doen
두,Du
둑,Duk
뒤,Dwi
드,Deu
득,Deuk
들,Deul
등,Deung
디,Di
따,Tta
땅,Ttang
때,Ttae
또,Tto
뚜,Ttu
뚝,Ttuk
뜨,Tteu
띠,Tti
라,Ra
락,Rak
람,Ram
란,Ran
랑,Rang
래,Rae
랭,Raeng
량,Ryang
렁,Reong
레,Re
려,Ryeo
력,Ryeok
련,Ryeon
렬,Ryeol
렴,Ryeom
렵,Ryeop
령,Ryeong
례,Rye
로,Ro
록,Rok
론,Ron
롱,Rong
뢰,Roe
료,Ryo
룡,Ryong
루,Ru
류,Ryu
륙,Ryuk
륜,Ryun
률,Ryul
륭,Ryung
르,Reu
륵,Reuk
른,Reun
름,Reum
릉,Reung
리,Ri
린,Rin
림,Rim
립,Rip
마,Ma
막,Mak
만,Man
말,Mal
망,Mang
매,Mae
맥,Maek
맨,Maen
맹,Maeng
머,Meo
먹,Meok
메,Me
며,Myeo
멱,Myeok
면,Myeon
멸,Myeol
명,Myeong
모,Mo
목,Mok
몰,Mol
못,Mot
몽,Mong
뫼,Moe
묘,Myo
무,Mu
묵,Muk
문,Mun
물,Mul
므,Meu
미,Mi
민,Min
밀,Mil
차,Cha
착,Chak
찬,Chan
찰,Chal
참,Cham
창,Chang
채,Chae
책,Chaek
처,Cheo
척,Cheok
천,Cheon
철,Cheol
첨,Cheom
첩,Cheop
청,Cheong
체,Che
초,Cho
촉,Chok
촌,Chon
총,Chong
최,Choe
추,Chu
축,Chuk
춘,Chun
출,Chul
춤,Chum
충,Chung
측,Cheuk
층,Cheung
치,Chi
칙,Chik
친,Chin
칠,Chil
침,Chim
칩,Chip
칭,Ching
코,Ko
쾌,Kwae
크,Keu
큰,Keun
키,Ki
타,Ta
탁,Tak
탄,Tan
탈,Tal
탐,Tam
탑,Tap
탕,Tang
태,Tae
택,Taek
탱,Taeng
터,Teo
테,Te
토,To
톤,Ton
톨,Tol
통,Tong
퇴,Toe
투,Tu
퉁,Tung
튀,Twi
트,Teu
특,Teuk
틈,Teum
티,Ti
파,Pa
판,Pan
팔,Pal
패,Pae
팽,Paeng
퍼,Peo
페,Pe
펴,Pyeo
편,Pyeon
폄,Pyeom
평,Pyeong
폐,Pye
포,Po
폭,Pok
표,Pyo
푸,Pu
품,Pum
