搬,bān,to carry
面包,miànbāo,bread
啊,a,“a”(exclamation)
周末,zhōumò,weekend
打算,dǎsuàn,plan
跟,gēn,with
复习,fùxí,to review
作业,zuòyè,homework
着急,zháojí,anxious
一直,yìzhí,all the time
游戏,yóuxì,game
南,nán,south
带,dài,to bring
地图,dìtú,map
疼,téng,to feel pain
瘦,shòu,skinny
胖,pàng,fat
拿,ná,"to grab, to take"
容易,róngyì,easy
难,nán,difficult
把,bǎ,measure word for things with handles
伞,sǎn,umbrella
脚,jiǎo,foot
腿,tuǐ,leg
树,shù,tree
辆,liàng,measure word for cars
其实,qíshí,"actually, in fact"
楼,lóu,building
经理,jīnglǐ,manager
办公室,bàngōngshì,office
爬山,páshān,to hike a mountain
条,tiáo,measure word for things that are long and soft
裤子,kùzi,pants
记得,jìde,to remember
新鲜,xīnxiān,fresh
舒服,shūfu,comfortable
还是,háishi,or
或者,huòzhě,or
衬衫,chènshān,shirt
花,huā,flower
甜,tián,sweet
绿,lǜ,green
小心,xiǎoxīn,careful
只,zhǐ,"only, solely"
放,fàng,to put
超市,chāoshì,supermarket
蛋糕,dàngāo,cake
年级,niánjí,grade
饿,è,hungry
年轻,niánqīng,young
认真,rènzhēn,serious
聪明,cōngming,smart
热情,rèqíng,"warm, enthusiastic"
努力,nǔlì,hard-working
又,yòu,and
照片,zhàopiàn,photo
比赛,bǐsài,competition
总是,zǒngshì,always
站,zhàn,to stand
客人,kèrén,customer
草,cǎo,grass
裙子,qúnzi,skirt
发烧,fāshāo,to have a fever
感冒,gǎnmào,to catch a cold
季节,jìjié,season
当然,dāngrán,of course
为,wèi,for
照顾,zhàogu,take care of
最近,zuìjìn,these days
用,yòng,need
越,yuè,more
眼镜,yǎnjìng,glasses
帮忙,bāngmáng,to help
离开,líkāi,to leave
突然,tūrán,suddenly
明白,míngbai,clear
清楚,qīngchu,clear
特别,tèbié,especially
讲,jiǎng,to explain
公园,gōngyuán,park
锻炼,duànliàn,to exercise
音乐,yīnyuè,music
刚才,gāngcái,just now
更,gèng,more
银行,yínháng,bank
迟到,chídào,to be late
久,jiǔ,long time
半,bàn,half
刻,kè,quarter hour
差,chà,to fall short of
结婚,jiéhūn,to get married
同事,tóngshì,colleague
接,jiē,to pick up (a person)
以前,yǐqián,"before, ago"
熊猫,xióngmāo,panda
老,lǎo,old (age)
安静,ānjìng,quiet
满意,mǎnyì,to be satisfied
见面,jiànmiàn,to meet
马上,mǎshàng,immediately
一会儿,yíhuìr,moment
又,yòu,again
电梯,diàntī,elevator
层,céng,measure word - level
洗手间,xǐshǒujiān,bathroom
健康,jiànkāng,healthy
害怕,hàipà,to be afraid
变化,biànhuà,change
重要,zhòngyào,important
几乎,jīhū,almost
班,bān,class
一样,yíyàng,"same, as... as..."
放心,fàngxīn,to rest assured
一定,yídìng,definitely
担心,dānxīn,to worry
比较,bǐjiào,"fairly, comparatively"
了解,liǎojiě,to be familar with
先,xiān,first
中间,zhōngjiān,in the middle
参加,cānjiā,to participate
影响,yǐngxiǎng,influence
矮,ǎi,short
历史,lìshǐ,history
体育,tǐyù,"PE, sports"
数学,shùxué,maths
方便,fāngbiàn,convenient
附近,fùjìn,nearby
骑,qí,to ride
旧,jiù,old
