那(nà),that
的(de),a posessive or descriptive particle
照片(zhàopiàn),picture; photo
这(zhè),this
爸爸(bàba),father; dad
妈妈(māma),mother; mom
个(gè/ge),a measure word for many common everyday objects
女(nǚ),female
孩子(háizi),child
她(tā),she; her
大哥(dàgē),eldest brother
儿子(érzi),son
有(yǒu),to have; to exist
女儿(nǚér),daughter
没(méi),not
高文中(Gāo Wénzhōng),a personal name
高(gāo),tall; high
家(jiā),family; home
几(jǐ),how many; some; a few
口(kǒu),a measure word for number of family members
哥哥(gēge),older brother
两(liǎng),two; a couple of
妹妹(mèimei),younger sister
和(hé),and
大姐(dàjiě),eldest sister
二姐(èrjiě),second oldest sister
做(zuò),to do
工作(gōngzuò),job; to work
律师(lǜshī),lawyer
都(dōu),both;all
大学生(dàxuéshēng),college student
大学(dàxué),uniersity;college
医生(yīshēng),doctor;physician
白英爱(Bái Yīng'ài),a personal name
