ア,A
イ,I
ウ,U
エ,E
オ,O
カ,Ka
キ,Ki
ク,Ku
ケ,Ke
コ,Ko
ガ,Ga
ギ,Gi
グ,Gu
ゲ,Ge
ゴ,Go
サ,Sa
シ,Shi
ス,Su
セ,Se
ソ,So
ザ,Za
ジ,Ji (z)
ズ,Zu (z)
ゼ,Ze
ゾ,Zo
タ,Ta
チ,Chi
ツ,Tsu
テ,Te
ト,To
ダ,Da
ヂ,Ji (d)
ヅ,Zu (d)
デ,De
ド,Do
ナ,Na
ニ,Ni
ヌ,Nu
ネ,Ne
ノ,No
ハ,Ha
ヒ,Hi
フ,Fu
ヘ,He
ホ,Ho
バ,Ba
ビ,Bi
ブ,Bu
ベ,Be
ボ,Bo
パ,Pa
ピ,Pi
プ,Pu
ぺ,Pe
ポ,Po
マ,Ma
ミ,Mi
ム,Mu
メ,Me
モ,Mo
ラ,Ra
リ,Ri
ル,Ru
レ,Re
ロ,Ro
ヤ,Ya
ユ,Yu
ヨ,Yo
ワ,Wa
ヲ,(W)O
ン,N
キャ,Kya
キュ,Kyu
キョ,Kyo
シャ,Sha
シュ,Shu
シェ,She
ショ,Sho
チャ,Cha
チュ,Chu
チェ,Che
チョ,Cho
ニャ,Nya
ニュ,Nyu
ニョ,Nyo
ヒャ,Hya
ヒュ,Hyu
ヒョ,Hyo
ミャ,Mya
ミュ,Myu
ミョ,Myo
リャ,Rya
リュ,Ryu
リョ,Ryo
ギャ,Gya
ギュ,Gyu
ギョ,Gyo
ジャ,Ja
ジュ,Ju
ジェ,Je
ジョ,Jo
ビャ,Bya
ビュ,Byu
ビョ,Byo
ピャ,Pya
ピュ,Pyu
ピョ,Pyo
ウィ,Wi
ウェ,We
ウォ,Wo
ツャ,Tsa
ツィ,Tsi
ツェ,Tse
ツォ,Tso
ティ,Ti
ファ,Fa
フィ,Fi
フュ,Fyu
フェ,Fe
フォ,Fo
ディ,Di
デュ,Dyu
ヴァ,Va
ヴィ,Vi
ヴ,Vu
ヴェ,Ve
ヴォ,Vo 
